"HomeScore Units Export"
""
"Property=.all"
"Property","Status","Unit Number","Year"
"Barnabas Apartments","Occupied No Notice","""511""","2020"
"Barnabas Apartments","Occupied No Notice","""512""","2020"
"Barnabas Apartments","Occupied No Notice","""513""","2020"
"Buri Manor","Vacant Rented Not Ready","""101""","2020"
"Buri Manor","Occupied No Notice","""102""","2020"
"Buri Manor","Occupied No Notice","""103""","2020"
"Buri Manor","Vacant Rented Not Ready","""104""","2020"
"Buri Manor","Occupied No Notice","""111""","2020"
"Buri Manor","Vacant Rented Not Ready","""114""","2020"
"Buri Manor","Occupied No Notice","""115""","2020"
"Buri Manor","Occupied No Notice","""116""","2020"
"Buri Manor","Occupied No Notice","""117""","2020"
"Buri Manor","Occupied No Notice","""118""","2020"
"Buri Manor","Notice Unrented","""201""","2020"
"Buri Manor","Notice Rented","""202""","2020"
"Buri Manor","Occupied No Notice","""203""","2020"
"Buri Manor","Occupied No Notice","""204""","2020"
"Buri Manor","Occupied No Notice","""205""","2020"
"Buri Manor","Occupied No Notice","""206""","2020"
"Buri Manor","Occupied No Notice","""210""","2020"
"Buri Manor","Occupied No Notice","""211""","2020"
"Buri Manor","Occupied No Notice","""212""","2020"
"Buri Manor","Notice Unrented","""214""","2020"
"Buri Manor","Vacant Rented Not Ready","""215""","2020"
"Buri Manor","Occupied No Notice","""216""","2020"
"Buri Manor","Occupied No Notice","""217""","2020"
"Buri Manor","Vacant Rented Not Ready","""218""","2020"
"Buri Manor","Vacant Rented Ready","""301""","2020"
"Buri Manor","Occupied No Notice","""302""","2020"
"Buri Manor","Occupied No Notice","""303""","2020"
"Buri Manor","Occupied No Notice","""304""","2020"
"Buri Manor","Occupied No Notice","""305""","2020"
"Buri Manor","Occupied No Notice","""306""","2020"
"Buri Manor","Occupied No Notice","""310""","2020"
"Buri Manor","Occupied No Notice","""311""","2020"
"Buri Manor","Vacant Rented Not Ready","""312""","2020"
"Buri Manor","Vacant Unrented Ready","""314""","2020"
"Buri Manor","Occupied No Notice","""315""","2020"
"Buri Manor","Occupied No Notice","""316""","2020"
"Buri Manor","Occupied No Notice","""317""","2020"
"Buri Manor","Occupied No Notice","""318""","2020"
"Carrington Drive","Occupied No Notice","""1302-101""","2020"
"Carrington Drive","Occupied No Notice","""1302-102""","2020"
"Carrington Drive","Occupied No Notice","""1302-103""","2020"
"Carrington Drive","Occupied No Notice","""1302-104""","2020"
"Carrington Drive","Notice Unrented","""1302-106""","2020"
"Carrington Drive","Occupied No Notice","""1302-107""","2020"
"Carrington Drive","Occupied No Notice","""1302-108""","2020"
"Carrington Drive","Occupied No Notice","""1302-109""","2020"
"Carrington Drive","Vacant Unrented Not Ready","""1302-110""","2020"
"Carrington Drive","Occupied No Notice","""1302-111""","2020"
"Carrington Drive","Occupied No Notice","""1302-201""","2020"
"Carrington Drive","Occupied No Notice","""1302-202""","2020"
"Carrington Drive","Occupied No Notice","""1302-203""","2020"
"Carrington Drive","Occupied No Notice","""1302-204""","2020"
"Carrington Drive","Notice Unrented","""1302-205""","2020"
"Carrington Drive","Occupied No Notice","""1302-206""","2020"
"Carrington Drive","Occupied No Notice","""1302-207""","2020"
"Carrington Drive","Occupied No Notice","""1302-208""","2020"
"Carrington Drive","Occupied No Notice","""1302-209""","2020"
"Carrington Drive","Occupied No Notice","""1302-210""","2020"
"Carrington Drive","Occupied No Notice","""1302-211""","2020"
"Carrington Drive","Occupied No Notice","""1302-301""","2020"
"Carrington Drive","Occupied No Notice","""1302-302""","2020"
"Carrington Drive","Vacant Unrented Ready","""1302-303""","2020"
"Carrington Drive","Occupied No Notice","""1302-304""","2020"
"Carrington Drive","Occupied No Notice","""1302-305""","2020"
"Carrington Drive","Occupied No Notice","""1302-306""","2020"
"Carrington Drive","Occupied No Notice","""1302-307""","2020"
"Carrington Drive","Occupied No Notice","""1302-308""","2020"
"Carrington Drive","Notice Unrented","""1302-309""","2020"
"Carrington Drive","Occupied No Notice","""1302-310""","2020"
"Carrington Drive","Occupied No Notice","""1302-311""","2020"
"Carrington Drive","Occupied No Notice","""1308-101""","2020"
"Carrington Drive","Occupied No Notice","""1308-102""","2020"
"Carrington Drive","Occupied No Notice","""1308-103""","2020"
"Carrington Drive","Occupied No Notice","""1308-104""","2020"
"Carrington Drive","Occupied No Notice","""1308-106""","2020"
"Carrington Drive","Occupied No Notice","""1308-107""","2020"
"Carrington Drive","Occupied No Notice","""1308-108""","2020"
"Carrington Drive","Occupied No Notice","""1308-109""","2020"
"Carrington Drive","Occupied No Notice","""1308-110""","2020"
"Carrington Drive","Occupied No Notice","""1308-111""","2020"
"Carrington Drive","Occupied No Notice","""1308-201""","2020"
"Carrington Drive","Occupied No Notice","""1308-202""","2020"
"Carrington Drive","Occupied No Notice","""1308-203""","2020"
"Carrington Drive","Occupied No Notice","""1308-204""","2020"
"Carrington Drive","Occupied No Notice","""1308-205""","2020"
"Carrington Drive","Occupied No Notice","""1308-206""","2020"
"Carrington Drive","Notice Unrented","""1308-207""","2020"
"Carrington Drive","Occupied No Notice","""1308-208""","2020"
"Carrington Drive","Occupied No Notice","""1308-209""","2020"
"Carrington Drive","Occupied No Notice","""1308-210""","2020"
"Carrington Drive","Occupied No Notice","""1308-211""","2020"
"Carrington Drive","Occupied No Notice","""1308-301""","2020"
"Carrington Drive","Occupied No Notice","""1308-302""","2020"
"Carrington Drive","Occupied No Notice","""1308-303""","2020"
"Carrington Drive","Occupied No Notice","""1308-304""","2020"
"Carrington Drive","Occupied No Notice","""1308-305""","2020"
"Carrington Drive","Occupied No Notice","""1308-306""","2020"
"Carrington Drive","Vacant Unrented Ready","""1308-307""","2020"
"Carrington Drive","Occupied No Notice","""1308-308""","2020"
"Carrington Drive","Occupied No Notice","""1308-309""","2020"
"Carrington Drive","Occupied No Notice","""1308-310""","2020"
"Carrington Drive","Occupied No Notice","""1308-311""","2020"
"Carrington Drive","Occupied No Notice","""6910-101""","2020"
"Carrington Drive","Occupied No Notice","""6910-102""","2020"
"Carrington Drive","Occupied No Notice","""6910-103""","2020"
"Carrington Drive","Occupied No Notice","""6910-104""","2020"
"Carrington Drive","Occupied No Notice","""6910-106""","2020"
"Carrington Drive","Occupied No Notice","""6910-107""","2020"
"Carrington Drive","Occupied No Notice","""6910-108""","2020"
"Carrington Drive","Occupied No Notice","""6910-109""","2020"
"Carrington Drive","Occupied No Notice","""6910-110""","2020"
"Carrington Drive","Occupied No Notice","""6910-111""","2020"
"Carrington Drive","Occupied No Notice","""6910-201""","2020"
"Carrington Drive","Occupied No Notice","""6910-202""","2020"
"Carrington Drive","Occupied No Notice","""6910-203""","2020"
"Carrington Drive","Vacant Unrented Not Ready","""6910-204""","2020"
"Carrington Drive","Occupied No Notice","""6910-205""","2020"
"Carrington Drive","Occupied No Notice","""6910-206""","2020"
"Carrington Drive","Occupied No Notice","""6910-207""","2020"
"Carrington Drive","Occupied No Notice","""6910-208""","2020"
"Carrington Drive","Occupied No Notice","""6910-209""","2020"
"Carrington Drive","Occupied No Notice","""6910-210""","2020"
"Carrington Drive","Vacant Rented Not Ready","""6910-211""","2020"
"Carrington Drive","Vacant Rented Not Ready","""6910-301""","2020"
"Carrington Drive","Occupied No Notice","""6910-302""","2020"
"Carrington Drive","Vacant Unrented Not Ready","""6910-303""","2020"
"Carrington Drive","Occupied No Notice","""6910-304""","2020"
"Carrington Drive","Occupied No Notice","""6910-305""","2020"
"Carrington Drive","Occupied No Notice","""6910-306""","2020"
"Carrington Drive","Occupied No Notice","""6910-307""","2020"
"Carrington Drive","Occupied No Notice","""6910-308""","2020"
"Carrington Drive","Occupied No Notice","""6910-309""","2020"
"Carrington Drive","Occupied No Notice","""6910-310""","2020"
